title,salary,city
Business Analyst - Projekt-Controlling und -Reporting Voll- o. Teilzeit (m/w/d),72000,"Stuttgart, Nürnberg, München, Düsseldorf, Berlin, Dortmund, Eschborn"
Senior Data Consultant (m/w/d) Transformationsberatung,100000,"Frankfurt am Main, Köln, Stuttgart, Hamburg, Berlin, Dresden, München"
Consultant (w/m/d) BI & Analytics (all levels),103000,"Stuttgart, Berlin, Düsseldorf, Frankfurt, Hamburg, München"
Business Analyst bAV (all genders),79000,"Aachen, Berlin, Bremen, Dortmund, Dresden, Essen, Hamburg, Hannover, Jena, Paderborn"
Financial Analyst Bereich Business Recovery (w/m/d),74000,"Hamburg, Düsseldorf, Frankfurt am Main, Berlin, Stuttgart, München"
Senior Consultant SAP BW / SAP Analytics (m/w/d),99000,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München"
Sales Manager für Data & Analytics (all gender),73000,Berlin
(Senior) Test Manager – Data Analytics & Management Platform (m/w/d),77000,Berlin
Business Intelligence Berater I Consultant (m/w/d),66000,"Schönefeld, Dortmund"
Senior Data Engineer (f/m/d),87000,"Hamburg, Berlin"
Senior Consultant Data Management (w/m/d),keine Angabe,"Berlin, München, Köln, Hamburg, Frankfurt, Düsseldorf, Hannover, Bielefeld, Dortmund, Münster"
Senior Data Engineer (m/w/d) DWH,84000,Teltow bei Berlin
Senior SAP Analytics Consultant (all genders),96000,"Berlin, Düsseldorf, Essen, Paderborn, Stuttgart, Leipzig, Jena, Saarbrücken, Augsburg"
Senior Consultant/Senior Business Analyst (w/m/d),keine Angabe,"Stuttgart, München, Hamburg, Berlin, Nordrhein-Westfalen"
(Senior) SAP Analytics Planning Consultant (m/w/d),91000,"Gütersloh, Köln, Hamburg, Berlin"
Senior Functional Consultant SAP MDG (w/m/x),85000,"München, Frankfurt a. M., Stuttgart, Köln, Hamburg, Ettlingen, Wolfsburg, Erfurt, Rosenheim, Berlin"
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,keine Angabe,Berlin
Impact Carbon Removal Analyst (Nature-based and CDR Projects) (f/d/m) at CEEZER,59000,"Berlin, Germany"
Industry Decarbonisation Analyst (f/m/d),60000,Berlin HQ
Conversion Analyst (m/w/d),56000,Berlin
BUSINESS ANALYST,54000,Wildau
Business Analyst (w/m/d),59000,"Berlin, Deutschland"
Business Analyst (m/w/d),56000,"Mitte, Berlin, Germany"
GCP Data Architect,68000,Berlin
Senior Account Executive - Dutch speaker (m/f/d),60000,"Berlin, Germany"
Mid/Senior Business Intelligence & Data Warehouse Engineer (w/m/d),67000,Berlin
(Senior) Manager - ServiceNow Consulting (w/m/d),keine Angabe,"Berlin, München, Hamburg, Köln, Frankfurt, Stuttgart, Düsseldorf"
Researcher Media Ownership Monitor Germany 2025,keine Angabe,Berlin
"Researcher, Political Influencer Landscape (Germany) Media Ownership Monitor Germany 2025",44000,Berlin
Client Success Manager B2B – German speaker,52000,Berlin
Senior Workday Specialist (Finance),55000,Berlin
Quant Trader (m/w/d),61000,Berlin
Business Development Manager - German Speaker (all genders welcome) in Berlin,63000,Berlin
Business Analyst,54000,Potsdam
(Senior) Data & Analytics Engineer,69000,Berlin
Machine Learning Engineer,63000,"Berlin, DE"
Machine Learning Engineer,66000,"Berlin, Germany"
Principal Machine Learning Engineer,66000,"Berlin, Germany"
Principal Machine Learning Engineer,71000,Berlin
Head of Business Intelligence,85000,Berlin
Analyst (m/w/d) Problemkredit Firmenkunden,69000,Berlin
Controllership Analyst / Internationaler Finanzbuchhalter (m/w/d),68000,Berlin
Referent (m/w/d) Research und Analysen für die Sparkassen-Finanzgruppe,68000,Berlin
IT Security Analyst (m/w/d),60000,Berlin
Financial Analyst / Controller (w/m/d),75000,Berlin
Risikoanalyst:in Cybersicherheit (w/m/d),85000,Berlin
Analyst IT-Consulting (all genders),78000,"Berlin, Bremen, Dresden, Hamburg, Hannover, Jena, Kiel, Leipzig, Neumünster, Rostock"
(Junior) Analyst Finanzkriminalität Bank (m/w/d),48000,Berlin
(Senior) IT Governance & Compliance Analyst (m/f/d),65000,Berlin
(Associate) Consultant (m/w/d) Data Driven Insurance,75000,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart"
Security Analyst im Security Operations Center - Tier 2 (m/w/d),60000,Berlin
SAP Platform Specialist (w/m/d) Data Integration,85000,Berlin
Kreditanalyst (m/w/d) Problemkredit gewerbliche Immobilienfinanzierung und Firmenkunden,67000,"Berlin, Karlsruhe"
Cash-Management Analyst (m/w/d),73000,Berlin
Lead Java Developer (w/m/d) Real Time Data,95000,Berlin
Security Analyst im Security Operations Center - Tier 1 (m/w/d),66000,Berlin
Online Ads Data Evaluator in Germany (m/w/d),keine Angabe,"Berlin, bundesweit, Home-Office"
Consultant SAP Financial Services Data Platform (FSDP) (m/w/d),72000,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München"
Accounting Analyst (m/w/d),70000,Berlin
Analyst (w/m/d) Mergers & Acquisitions (M&A),63000,"Bremen, Berlin"
Data Management Officer (m/f/d),69000,Berlin
Analyst Anti-Financial-Crime EMEA Hub (m/w/d),38532,Berlin
"SAP Datasphere, BDC & SAC Berater (m/w/d) - SAP Consultant BW/4HANA",120000,"Hamburg, Düsseldorf, Würzburg, Berlin, München, Home-Office"
Data Engineer (f/m/x),70000,"Graz, Wien, Pörtschach, Berlin, Dortmund"
Working Student HR Master Data & Reporting (m/f/d),keine Angabe,Berlin
Security Analyst 1st Level Security Operations Center (m/w/d),79000,"Aachen, Berlin, Frankfurt am Main, Hamburg, Hannover, Köln, Košice, Leipzig, München, Stuttgart"
Referent Data Engineer (m/w/d),78000,Berlin
BI & Data Analyst – HR-Software (SaaS),80000,Hamburg
Market Analyst Sales (m/w/d),80000,"Stuttgart, Hamburg, Frankfurt"
"Technisch versierter BI Analyst (m/w/d) – Power BI, MS Fabric & Datenmodellierung",73000,Hamburg
(Senior) Business Analyst* Market Data & Vendor Management,88000,"Hamburg, Frankfurt am Main"
(Junior) Asset Manager*in Europa befristet bis 31.08.2026 (in Voll- oder Teilzeit),keine Angabe,Hamburg
(Junior) Business Analyst* Market Data & Vendor Management,75000,"Frankfurt am Main, Hamburg"
Senior Data Analyst (w/m/d),80000,"Hamburg, Köln"
Physiker/ Mathematiker/ Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),71300,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien"
Senior Data Scientist,79000,"Hamburg, Hamburg, Germany"
(Senior) Data Scientist (m/w/d) InsurTech,93000,Hamburg
Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,keine Angabe,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien"
Data Scientist / Data Engineer (m/w/d),73000,"Hamburg, Köln, Düsseldorf"
Analytics Developer (m/w/divers),70000,Ahrensburg bei Hamburg
Principal Data Scientist,65000,Hamburg
Deine Ausbildung bei der Krämer Marktforschung!,keine Angabe,"Hamburg, Deutschland"
CoE Lead (m/w/d) Künstliche Intelligenz,120000,"Dortmund, Hamburg"
E-Commerce Manager (all gender) mit Schwerpunkt Growth & Revenue,62000,Hamburg
Research Executive,56000,Hamburg
Entwickler (m/w/d) f�r Microsoft Dynamics 365 Finance und Supply Chain Management,61000,"Hamburg, Deutschland"
(Senior-) Consultant IBM Cognos (m/w/d),72000,"Hamburg, Deutschland"
Business Analyst - ServiceNow Consulting (w/m/d),keine Angabe,"München, Hamburg, Köln, Frankfurt, Düsseldorf, Berlin, Mannheim"
SAP Datasphere and Analytics Cloud Specialist (f/m/d),keine Angabe,"Berlin, Düsseldorf, München, Frankfurt am Main, Hamburg, Hannover"
Portfolio Business Analyst (m/d/f),95000,Hamburg
"(Junior) Consultant IT-Forensic, eDiscovery und Forensic Data Analytics (w/m/d)",keine Angabe,"Augsburg, München, Köln, Hamburg, Frankfurt, Stuttgart, Düsseldorf, Hannover, Leipzig"
(Expert) Data Developer (m/w/d) Analytics,74000,Hamburg
(Expert) Data Developer (m/w/d) Analytics,74000,Hamburg
(Junior) Analyst – Corporate Rankings and Business Analysis (m/f/d),keine Angabe,Hamburg
Data Analytics Engineer (m/w/d),66000,"Hamburg, Kiel, Bremen, Lübeck, Lüneburg"
Business Analyst (m/w/d) Technologie & Prozesse Krankenversicherung,70000,"Dortmund, Hamburg"
Business Analyst | Pricing (w/m/d),76000,Hamburg
Business Analyst (m/w/d) Scrum,79000,Hamburg
Business Analyst für Provision & Vermittler (all genders),72000,"Dortmund, Düsseldorf, Essen, Hamburg, München, Nürnberg, Stuttgart, Berlin"
(Junior) Business-Analyst (m/w/d) für die Bereiche Zahlungsverkehr und Wertpapierservice,65000,"Frankfurt am Main, Hamburg, Stuttgart"
Business Analyst – Digital Services Voll- o. Teilzeit (m/w/d),72000,"Hamburg, Dortmund, Eschborn"
Key Account Manager - Data Product (w/m/d),83000,"Berlin, Düsseldorf, Hamburg, Karlsruhe, München"
Business Analyst (m/w/d) Service/Partner Plattformen,70000,"Dortmund, Hamburg"
Business Analyst (all genders) – Focus Sales Controlling,64000,Hamburg
Data Engineer* / Machine Learning Engineer*,70000,"Karlsruhe, Köln, München, Hamburg, Stuttgart, Pforzheim, Berlin, Erlangen"
(Senior) Manager Business Intelligence & Data Management (w/m/d),keine Angabe,"Frankfurt, München, Hamburg, Köln, Stuttgart, Düsseldorf, Hannover, Berlin"
Business Analyst (m/w/d) für TAA-Prozesse in der Lebensversicherung,90000,Hamburg
Process Analyst (gn*),79000,Hamburg
Senior Data Consultant (m/w/d) Transformationsberatung,100000,"Frankfurt am Main, Köln, Stuttgart, Hamburg, Berlin, Dresden, München"
Consultant (w/m/d) BI & Analytics (all levels),103000,"Stuttgart, Berlin, Düsseldorf, Frankfurt, Hamburg, München"
Business Analyst bAV (all genders),79000,"Aachen, Berlin, Bremen, Dortmund, Dresden, Essen, Hamburg, Hannover, Jena, Paderborn"
(Senior) Analyst - International Ranking Projects (m/f/d),keine Angabe,Hamburg
Business Analyst (m/w/d) Sach-/Haftpflichtversicherung,79000,Hamburg
Junior Data Engineer (m/w/d) / Applicationmanager*in (in Voll- oder Teilzeit),70000,Hamburg
Financial Analyst Bereich Business Recovery (w/m/d),74000,"Hamburg, Düsseldorf, Frankfurt am Main, Berlin, Stuttgart, München"
Senior Consultant SAP BW / SAP Analytics (m/w/d),99000,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München"
Senior Consultant – SAP BI / Analytics (m/w/d),90000,"Frankfurt, Köln, München, Hamburg"
Senior Data Engineer (f/m/d),87000,"Hamburg, Berlin"
Senior Consultant Data Management (w/m/d),keine Angabe,"Berlin, München, Köln, Hamburg, Frankfurt, Düsseldorf, Hannover, Bielefeld, Dortmund, Münster"
(Senior) Controller / Analyst (m/w/d) im Dachfondsmanagement,83000,Hamburg
(Senior) Data Engineer (m/w/d),keine Angabe,"Trittau, Hamburg"
Senior SAP Analytics Consultant (all genders),100000,"Bonn, Köln, Hamburg, Dortmund, Frankfurt, Nürnberg, München, Karlsruhe, Walldorf, Dresden"
(Senior) Data Engineer (m/w/d),90000,"Lemwerder, Hamburg, Bremen"
Senior Data Architect (m/w/d),keine Angabe,"Hamburg, Essen, Hanover, Landshut, Dortmund"
Senior Consultant/Senior Business Analyst (w/m/d),keine Angabe,"Stuttgart, München, Hamburg, Berlin, Nordrhein-Westfalen"
(Senior) SAP Analytics Planning Consultant (m/w/d),91000,"Gütersloh, Köln, Hamburg, Berlin"
Database Manager Business Intelligence (all gender),60000,Hamburg
Senior Functional Consultant SAP MDG (w/m/x),85000,"München, Frankfurt a. M., Stuttgart, Köln, Hamburg, Ettlingen, Wolfsburg, Erfurt, Rosenheim, Berlin"
Database Manager Business Intelligence (all gender),keine Angabe,Hamburg
Principal Analyst - EU Power Transaction Advisory,63000,"Hamburg, DE"
Game Analyst,60000,"Hamburg, Germany"
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder virtuell,keine Angabe,Hamburg
Key Account Manager - France & Switzerland (m/f/d),79000,Hamburg
AI Consultant (m/w/d),70000,"Köln, Stuttgart, Hamburg"
Investment Analyst (m/w/d),63000,"Hamburg, Deutschland"
Junior Data Engineer (m/w/d),60000,Hamburg
(Senior) Manager - ServiceNow Consulting (w/m/d),keine Angabe,"Berlin, München, Hamburg, Köln, Frankfurt, Stuttgart, Düsseldorf"
Principal Machine Learning Engineer,67000,Hamburg
Analyst (m/w/d) Loss Prevention,72000,Hamburg
Analyst Risk Management (m/w/d),76000,Hamburg
Commercial Analyst (m/w/d),68000,Hamburg
(Junior) Controller / Analyst (m/w/d) im Dachfondsmanagement,66000,Hamburg
Technical Controlling Analyst (m/f/d),65000,Hamburg
Software / Application Analyst (m/w/d),71000,"Boppard-Buchholz, Hamburg"
M&A Analyst / Specialist – Finance Modeling & Corporate Housekeeping (m/w/d),65000,Hamburg
Business Analyst (gn) Finance IT Systems,77000,Hamburg
Kreditanalyst (w/m/d),65000,Hamburg
Analyst IT-Consulting (all genders),78000,"Berlin, Bremen, Dresden, Hamburg, Hannover, Jena, Kiel, Leipzig, Neumünster, Rostock"
Software / Application Analyst (m/w/d),71000,"Boppard, Hamburg"
Procurement Analyst / Einkaufscontrolling (w/m/d),60000,"Hamburg, Frankfurt am Main, Düsseldorf, Stuttgart"
Kundenbetreuung Master Data (m/w/d),46000,Hamburg
(Associate) Consultant (m/w/d) Data Driven Insurance,75000,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart"
GIS-Analyst (m/w/d),63000,Hamburg
Kreditanalyst - Immobilienfinanzierungen (m/w/d),81000,Hamburg
Key Account Analyst (d/w/m) Amazon & Marketplace,78000,Hamburg
Financial Reporting Analyst (w/m/d),70000,"Düsseldorf, Hamburg"
"Performance Controller - ""Der Effizienzanalyst""*",80000,Hamburg
Consultant Data Strategy (f/m/d),keine Angabe,"Frankfurt/Main, Hamburg, Köln, Leipzig, Stuttgart"
Consultant SAP Financial Services Data Platform (FSDP) (m/w/d),72000,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München"
Investment Analyst (m/f/d) in Renewable Energies,38000,"Hamburg, Neubiberg"
"SAP Datasphere, BDC & SAC Berater (m/w/d) - SAP Consultant BW/4HANA",120000,"Hamburg, Düsseldorf, Würzburg, Berlin, München, Home-Office"
Data Quality Specialist (m/w/d),50000,Hamburg
Security Analyst 1st Level Security Operations Center (m/w/d),79000,"Aachen, Berlin, Frankfurt am Main, Hamburg, Hannover, Köln, Košice, Leipzig, München, Stuttgart"
Werkstudent Data Project Communication & Change (w/m/d),keine Angabe,Hamburg
Data Engineer (m/w/d),keine Angabe,"Hamburg, Essen, Hannover, Dortmund, Landshut"
Werkstudent Data Management & Analytics (w/m/d),keine Angabe,Hamburg
Specialist Cybersecurity & Data Privacy (m/w/d) Medizintechnik,71000,Hamburg
"Werkstudent Data Science, Schwerpunkt E-Mobility (m/w/d)",keine Angabe,Hamburg
Data Engineer (m/w/d),85000,"Hamburg, Frankfurt, München, Hannover, Köln, Berlin, Düsseldorf, Stuttgart"
Mitarbeiter (m/w/d) im Team Data Analytics,75000,Hamburg
Data Engineer (m/w/d),81000,Hamburg
Senior Consultant Customer Data & Tech (m/w/d),76000,"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart"
Werkstudent HR Data Management & Reporting (w/m/d),keine Angabe,Hamburg
Coordinator Master Data (m/w/d),68000,Hamburg
Kreditanalyst - Corporate (m/w/d),81000,Hamburg
Data Engineer (all genders),77000,"Frankfurt am Main, Berlin, Hamburg, Düsseldorf, München, Stuttgart"
Praktikum als Fellow Consultant (w/m/d) Steering Lab - Schwerpunkt Data Science,keine Angabe,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart"
Working Student / Intern in Data Engineering – Flexplace in Germany (m/f/x),keine Angabe,"Berlin, Düsseldorf, Frankfurt am Main, Leipzig, Hamburg, München, Stuttgart, Wiesbaden, Viersen"
Working Student / Intern in Audit – Python Data Professional – Flexplace in Germany (m/f/x),keine Angabe,"Berlin, Düsseldorf, Frankfurt am Main, Leipzig, Hamburg, München, Stuttgart, Wiesbaden, Viersen"
Working Student/ Intern in Audit - Data Analytics – Flexplace in Germany (m/f/x),keine Angabe,"Berlin, Düsseldorf, Frankfurt am Main, Leipzig, Hamburg, München, Stuttgart, Wiesbaden, Viersen"
Financial Analyst / Controller (m/w/d),73000,Hamburg
Revenue Analyst (m/w/d),56000,Hamburg
SAP Data Engineer (m/w/d) / SAP BW Entwickler (m/w/d) in Voll- oder Teilzeit,85000,Hamburg
Business Analyst Finanzen CFO Strategie (w/m/d),116000,"Hamburg, Düsseldorf, Frankfurt, Berlin, Stuttgart, München, Essen, Köln"
Financial Analyst Transformation Strategy & Operating Model (w/m/d),65000,"Hamburg, Düsseldorf, Frankfurt am Main, Berlin, Stuttgart, München, Essen, Köln"
IT Service Desk Agent / IT Support Mitarbeiter Help Desk (m/w/d),43000,Hamburg
IT Business Analyst für Microsoft Power Platform (m/w/d),80000,"Hamburg, Köln, München-Nord"
IT-Security Specialist (m/w/d) - IT-Security Analyst (m/w/d),76000,"Hamburg, Stuttgart, Düsseldorf, Nürnberg, Ulm"
"Logopädie, Ergotherapie & Physiotherapie - Therapeutenteamverstärkung (m/w/d) für unsere Kitas in Hamburg gesucht",3864,Hamburg
IT-Security Analyst (m/w/d) - Cyber Security Specialist (m/w/d),83000,"Düsseldorf, München, Berlin, Dresden, Stuttgart, Hamburg"
Chemielaborant/in / Chemielaboranten (m/w/d),40000,Hamburg
IT Network Security Engineer (m/w/d),82000,Hamburg
Data Analyst (m/w/d),80000,Unterföhring bei München
Stammdaten Analyst / Data Manager (m/w/d) Verpackungsmaterialien & BI-Reporting,94000,Unterhaching bei München
Working Student | Data Analyst - Corporate Audit (m/f/d),keine Angabe,München
"Data Engineers, Analysts & Scientists (w|m|d)",83000,"Mannheim, München, Nürnberg, Stuttgart"
Data Strategy Consultant (f/m/x),70000,München
Data Steward (w/m/d),83000,Windach bei München
Senior Data Analyst & Tracking Expert (m/w/d),74000,München
Physiker/ Mathematiker/ Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),71300,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien"
Business Analyst Zentrale Methoden/ Data Lineage (m/w/d) | STBDBF,83000,"Karlsruhe, Münster, Aschheim"
Senior Data Scientist (f/m/x),keine Angabe,München
Data Analyst – Commercial,62000,München
Data Analyst (m/w/d) - Cloud Data & Analytics,62000,"München, Deutschland"
Data Developer (all genders),88000,München
Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,keine Angabe,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien"
Praktikum im Bereich Klimarisiken (m/w/d)*,keine Angabe,München
Data Analyst (m/w/d) - Cloud Data & Analytics,62000,Munich
Data Analyst | Spectroscopy | All genders,62000,Munich
IMOGate | Data Analyst Job Offer,62000,"Munich, Germany"
Principal Data Scientist,69000,München
L2 Support Professional (m/w/d),keine Angabe,Martinsried
Power BI Data Analyst (all genders),64000,"Munich, Germany"
Teamleitung Data & Marketing Intelligence (w/m/d),71000,München
Prozessmanager KI (m/w/d),78000,München
Middle-Level BI analyst with a focus on Web and SEO Data,68000,Munich
POWER BI - Reporting Specialist (m/w/d),71000,Munich
Senior System Engineer (m/w/d) - bis 90% remote,71000,München
Senior System Engineer (m/w/d) - bis 90% remote in München,71000,München
Senior Digital Business Consultant (m/f/x),75000,Munich
(Senior) Marketing Science Consultant (m/w/d),69000,Munich
Payload Specialist (m/f/d),62000,"Munich, Germany"
Business Analyst - ServiceNow Consulting (w/m/d),keine Angabe,"München, Hamburg, Köln, Frankfurt, Düsseldorf, Berlin, Mannheim"
Business Analyst (d/w/m) mit DWH Expertise,95000,"Saarbrücken, München"
SAP Datasphere and Analytics Cloud Specialist (f/m/d),keine Angabe,"Berlin, Düsseldorf, München, Frankfurt am Main, Hamburg, Hannover"
"(Junior) Consultant IT-Forensic, eDiscovery und Forensic Data Analytics (w/m/d)",keine Angabe,"Augsburg, München, Köln, Hamburg, Frankfurt, Stuttgart, Düsseldorf, Hannover, Leipzig"
Business Analyst (m/w/d) mit Schwerpunkt Datenanalyse und Dashboard-Erstellung,68000,"Hannover, München"
Cost Analyst (m/w/d) im Controlling für das Team Profit Accounting & Analytics,73000,München
Digital Marketing Analyst (m/w/d),keine Angabe,München
Data Onboarding Specialist - Intellectual Property (m/d/f) (m/w/d),72000,Starnberg bei München
Business Analyst Sach- und Personenversicherung (w|m|d),86000,München
Digital Forensic Analyst (m/w/x),keine Angabe,"Oberkochen (Baden-Württemberg), München"
Business Analyst für Provision & Vermittler (all genders),72000,"Dortmund, Düsseldorf, Essen, Hamburg, München, Nürnberg, Stuttgart, Berlin"
Controlling & Business Analytics Professional (m/w/d),120000,München
HR Organizational Data Specialist (w/m/d),82000,München
Data Architect (f/m/x),70000,München
Business Analyst Mobile Bezahllösungen (m/w/d) | DBABEZ,98000,Aschheim
Business Analyst Kontoübersicht (m/w/d) | DBALIQ,98000,"Karlsruhe, Münster, Aschheim"
Business Analyst Kreditkarte (m/w/d) | DBABEZ,98000,Aschheim
Key Account Manager - Data Product (w/m/d),83000,"Berlin, Düsseldorf, Hamburg, Karlsruhe, München"
Machine Learning & KI-Agenten Engineer (m/w/d) - Google AI Fokus,82000,München
Immobilienkaufmann/Immobilienwirt (d/w/m) als Property Specialist,60000,München
Naturwissenschaftler als Business Analyst Retail (m/w/d),60000,München-Nord
Data Engineer* / Machine Learning Engineer*,70000,"Karlsruhe, Köln, München, Hamburg, Stuttgart, Pforzheim, Berlin, Erlangen"
(Senior) Manager Business Intelligence & Data Management (w/m/d),keine Angabe,"Frankfurt, München, Hamburg, Köln, Stuttgart, Düsseldorf, Hannover, Berlin"
Business Analyst - Projekt-Controlling und -Reporting Voll- o. Teilzeit (m/w/d),72000,"Stuttgart, Nürnberg, München, Düsseldorf, Berlin, Dortmund, Eschborn"
Projektkoordinator Datenanalyse (m/w/d) am Standort München,76000,München
Senior Data Consultant (m/w/d) Transformationsberatung,100000,"Frankfurt am Main, Köln, Stuttgart, Hamburg, Berlin, Dresden, München"
Business Analyst (m/w/d) im Bereich Lebensversicherung,67000,München
Consultant (w/m/d) BI & Analytics (all levels),103000,"Stuttgart, Berlin, Düsseldorf, Frankfurt, Hamburg, München"
Business Analyst bAV (all genders),84000,"Bonn, Düsseldorf, Frankfurt, Karlsruhe, Köln, München, Nürnberg, Reutlingen, Stuttgart"
Asset Liability Management und Data Management (m/w/d),83000,München
Application Consultant Customer Legitimation (all genders),90000,München
Financial Analyst Bereich Business Recovery (w/m/d),74000,"Hamburg, Düsseldorf, Frankfurt am Main, Berlin, Stuttgart, München"
Senior Consultant SAP BW / SAP Analytics (m/w/d),99000,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München"
Senior Consultant – SAP BI / Analytics (m/w/d),90000,"Frankfurt, Köln, München, Hamburg"
Senior Consultant Data Management (w/m/d),keine Angabe,"Berlin, München, Köln, Hamburg, Frankfurt, Düsseldorf, Hannover, Bielefeld, Dortmund, Münster"
