job_title,city,country,salary_annual
Data Engineer (d/m/w),Vienna,Austria,55300.0
Senior Data Engineer (w/m/d),Vienna,Austria,68671.0
"Plattform Engineer - Data, IoT und KI (w/m/d)",Vienna,Austria,44450.0
FH-Praktikum Data Engineer/Schwerpunkt Datawarehouse,Vienna,Austria,31500.0
Data Engineer (w/m/d),Vienna,Austria,63200.0
Data Engineer (m/w/d),Vienna,Austria,53802.0
Data Engineer (w/m/d) - Schwerpunkt Controlling,Vienna,Austria,59982.0
Senior Data Engineer:in / Power BI Reporting Engineer:in (m/w/d),Vienna,Austria,63000.0
SQL-Datenbankadministrator (m/w/d) - Data Base Engineer SQL,Vienna,Austria,55000.0
BI Spezialist:in (Fokus Data Engineering) (m/w/x),Vienna,Austria,50500.0
BI Analyst/Data Scientist für Produkt & Marketing (m/w/d),Vienna,Austria,52136.0
Senior AI Developer / Data Scientist (w/m/d),Vienna,Austria,38038.0
Senior Data Scientist (all genders),Vienna,Austria,55177.0
Internship Data Science - Compliance Advanced Analytics (all genders),Vienna,Austria,40685.0
IT Data Analyst (m/w/d) marktführendes Logistik-Unternehmen,Vienna,Austria,50500.0
Cloud Engineer Azure (m/w/d) - Cloud System Administrator,Vienna,Austria,70000.0
Cloud Engineer Azure (m/w/d) - Cloud System Administrator,Vienna,Austria,70000.0
Engineer Operations Datacenter (m/w/d),Vienna,Austria,44000.0
Systems Engineer Network Operations (m/w/d),Vienna,Austria,56000.0
Splunk Engineer (m/w/d),Vienna,Austria,55000.0
Test Automation Engineer (f/m/d) - KCRM,Vienna,Austria,68000.0
Engineer Operations Security (m/w/d),Vienna,Austria,44000.0
Data Engineer (m/w/d) - befristet,Vienna,Austria,64534.0
BI Analyst/Data Scientist für Produkt & Marketing (m/w/d),Vienna,Austria,52136.0
Senior AI Developer / Data Scientist (w/m/d),Vienna,Austria,38038.0
Senior Data Scientist (all genders),Vienna,Austria,55177.0
Internship Data Science - Compliance Advanced Analytics (all genders),Vienna,Austria,40685.0
Werkstudentin (w/m/d) Data Engineer Junior,Vienna,Austria,42314.0
Data Engineer (d/m/w),Vienna,Austria,55300.0
Senior Data Engineer (w/m/d),Vienna,Austria,68671.0
"Plattform Engineer - Data, IoT und KI (w/m/d)",Vienna,Austria,44450.0
FH-Praktikum Data Engineer/Schwerpunkt Datawarehouse,Vienna,Austria,31500.0
Data Engineer (w/m/d),Vienna,Austria,63200.0
Data Engineer (m/w/d),Vienna,Austria,53802.0
Senior Data Engineer:in / Power BI Reporting Engineer:in (m/w/d),Vienna,Austria,63000.0
Data Engineer (w/m/d) - Schwerpunkt Controlling,Vienna,Austria,59982.0
BI Spezialist:in (Fokus Data Engineering) (m/w/x),Vienna,Austria,50500.0
SQL-Datenbankadministrator (m/w/d) - Data Base Engineer SQL,Vienna,Austria,55000.0
